Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
SASARAM,BIHAR 4,BIHAR,######,5320,NA,Fashion,NA,NA,Vmart,100113,0,0,0,Hindi
SHAHAJAHANPUR,UP6,UP,28-Oct-09,11633,NA,Composite,NA,NA,Vmart,47,0,0,0,Hindi
SHAHGANJ,UP7,NORTH,01-Jul-16,11300,NA,Composite,NA,NA,Vmart,101032,0,0,0,Hindi
SHAHGANJ-JAUNPUR ROAD,UP3,UP,25-Oct-21,8500,NA,Composite,NA,NA,Vmart,101600,0,0,0,Hindi
SHANTIPUR,WB 1,EAST/JHK,27-Sep-18,8280,NA,Fashion,NA,NA,Vmart,101183,0,0,0,Bangla
SHEIKHPURA,BIHAR 4,BIHAR,######,7050,NA,Fashion,NA,NA,Vmart,101156,0,0,0,Hindi
SHEOHAR,BIHAR 2,BIHAR,25-Oct-17,7108,NA,Fashion,NA,NA,Vmart,101091,0,0,0,Hindi
SHIVPURI,MP2,NORTH,12-Sep-13,8925,NA,Fashion,NA,NA,Vmart,100171,0,0,0,Hindi
SHUKLAGANJ,UP2,UP,22-Feb-18,6853,NA,Fashion,NA,NA,Vmart,101140,0,0,0,Hindi
SIDHAULI,UP6,UP,13-Oct-17,7860,NA,Fashion,NA,NA,Vmart,101121,0,0,0,Hindi
MOGAPPAIR,TN,SOUTH,10-Oct-18,8572,NA,Saral,NA,NA,Unlimited,101540,1,0,1,#N/A
SITAMARHI,BIHAR 2,BIHAR,13-Oct-15,10350,NA,Composite,NA,NA,Vmart,101011,0,1,0,Hindi
SITAPUR,UP6,UP,######,9280,NA,Composite,NA,NA,Vmart,70,0,0,0,Hindi
SIWAN,BIHAR 1,BIHAR,######,7717,NA,Fashion,NA,NA,Vmart,100208,0,0,0,Hindi
SRINAGAR,J&K,NORTH,######,9884,NA,Composite,NA,NA,Vmart,56,0,0,0,Hindi
SULTANPUR,UP9,UP,07-Jan-10,17000,NA,Composite,NA,NA,Vmart,48,0,0,0,Hindi
SULTANPUR - PUNCHRASTA ROAD,UP9,UP,######,8028,NA,Fashion,NA,NA,Vmart,NA,0,0,0,#N/A
SUPAUL,BIHAR 3,BIHAR,14-Jun-19,8527,NA,Composite,NA,NA,Vmart,101179,0,0,0,Hindi
